No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
77,AEG,Aegon N.V.,Financial,Insurance - Diversified,Netherlands,6.64B,5.23,2.89,-7.07%,"1,388,043"
79,AEIS,"Advanced Energy Industries, Inc.",Industrials,Electrical Equipment & Parts,USA,2.66B,42.24,71.63,-0.14%,"25,112"
62,ADM,Archer-Daniels-Midland Company,Consumer Defensive,Farm Products,USA,27.71B,15.55,48.93,-2.12%,"841,259"
64,ADMP,Adamis Pharmaceuticals Corporation,Healthcare,Drug Manufacturers - Specialty & Generic,USA,81.93M,-,0.94,-6.59%,"2,647,855"
66,ADNT,Adient plc,Consumer Cyclical,Auto Parts,Ireland,2.07B,-,21.29,-1.66%,"162,591"
68,ADPT,Adaptive Biotechnologies Corporation,Healthcare,Biotechnology,USA,6.99B,-,52.71,-0.30%,"78,754"
70,ADSK,"Autodesk, Inc.",Technology,Software - Application,USA,52.38B,144.55,245.00,1.19%,"245,443"
72,ADT,ADT Inc.,Industrials,Security & Protection Services,USA,6.42B,-,8.25,-1.43%,"744,283"
74,ADUS,Addus HomeCare Corporation,Healthcare,Medical Care Facilities,USA,1.55B,49.48,98.40,0.03%,"12,839"
76,AEE,Ameren Corporation,Utilities,Utilities - Regulated Electric,USA,20.31B,24.14,80.61,-2.34%,"190,270"
78,AEGN,Aegion Corporation,Industrials,Engineering & Construction,USA,466.55M,-,15.38,-0.77%,"19,250"
80,AEL,American Equity Investment Life Holding Company,Financial,Insurance - Life,USA,2.88B,12.06,31.04,-1.46%,"185,340"
81,AEM,Agnico Eagle Mines Limited,Basic Materials,Gold,Canada,18.97B,40.39,81.94,-0.90%,"304,267"
83,AEP,"American Electric Power Company, Inc.",Utilities,Utilities - Regulated Electric,USA,44.67B,23.56,88.82,-1.83%,"532,488"
85,AERI,"Aerie Pharmaceuticals, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,USA,538.32M,-,11.23,-2.43%,"94,617"
87,AEZS,Aeterna Zentaris Inc.,Healthcare,Biotechnology,USA,23.39M,-,0.37,0.21%,"208,271"
89,AFI,"Armstrong Flooring, Inc.",Industrials,Building Products & Equipment,USA,85.04M,-,3.89,2.37%,"28,674"
91,AFMD,Affimed N.V.,Healthcare,Biotechnology,Germany,339.33M,-,3.67,0.00%,"115,114"
93,AFYA,Afya Limited,Consumer Defensive,Education & Training Services,Brazil,2.45B,39.18,25.95,0.35%,"95,621"
95,AGCO,AGCO Corporation,Industrials,Farm & Heavy Construction Machinery,USA,5.97B,191.02,80.09,-0.65%,"112,465"
97,AGFS,"AgroFresh Solutions, Inc.",Consumer Defensive,Farm Products,USA,136.32M,-,2.51,-0.79%,"4,707"
99,AGI,Alamos Gold Inc.,Basic Materials,Gold,Canada,3.66B,67.27,9.00,-3.74%,"700,525"
82,AEO,"American Eagle Outfitters, Inc.",Consumer Cyclical,Apparel Retail,USA,2.52B,-,14.77,-1.63%,"1,518,773"
84,AER,AerCap Holdings N.V.,Industrials,Airports & Air Services,Ireland,3.55B,3.26,26.69,-2.80%,"253,296"
86,AES,The AES Corporation,Utilities,Utilities - Diversified,USA,13.06B,68.73,19.36,-0.79%,"618,620"
88,AFG,"American Financial Group, Inc.",Financial,Insurance - Property & Casualty,USA,6.66B,29.57,74.08,-2.08%,"227,111"
90,AFL,Aflac Incorporated,Financial,Insurance - Life,USA,27.48B,9.60,37.56,-2.19%,"720,021"
92,AFTY,Pacer CSOP FTSE China A50 ETF,Financial,Exchange Traded Fund,USA,-,-,20.36,0.10%,"1,058"
94,AG,First Majestic Silver Corp.,Basic Materials,Silver,Canada,2.33B,-,10.31,-2.74%,"2,148,492"
96,AGEN,Agenus Inc.,Healthcare,Biotechnology,USA,807.10M,-,4.49,3.33%,"578,795"
98,AGG,iShares Core U.S. Aggregate Bond ETF,Financial,Exchange Traded Fund,USA,-,-,117.99,0.03%,"1,047,186"
100,AGIO,"Agios Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,2.53B,-,35.46,-0.45%,"99,824"
101,AGLE,"Aeglea BioTherapeutics, Inc.",Healthcare,Biotechnology,USA,354.63M,-,7.81,-1.14%,"16,882"
103,AGNC,AGNC Investment Corp.,Real Estate,REIT - Mortgage,USA,7.97B,-,14.03,-1.09%,"1,343,599"
105,AGQ,ProShares Ultra Silver,Financial,Exchange Traded Fund,USA,-,-,44.35,-8.35%,"1,264,522"
107,AGRO,Adecoagro S.A.,Consumer Defensive,Farm Products,Luxembourg,578.46M,-,4.93,-0.40%,"21,812"
109,AGS,"PlayAGS, Inc.",Consumer Cyclical,Gambling,USA,124.67M,-,3.40,-1.16%,"81,990"
111,AGX,"Argan, Inc.",Industrials,Engineering & Construction,USA,683.91M,-,42.74,-1.37%,"9,750"
113,AHC,A.H. Belo Corporation,Communication Services,Publishing,USA,29.17M,-,1.41,0.00%,343
115,AHT,"Ashford Hospitality Trust, Inc.",Real Estate,REIT - Hotel & Motel,USA,18.68M,-,1.45,-3.97%,"163,783"
117,AIA,iShares Asia 50 ETF,Financial,Exchange Traded Fund,USA,-,-,75.50,-0.40%,"23,737"
119,AIMC,Altra Industrial Motion Corp.,Industrials,Specialty Industrial Machinery,USA,2.61B,-,39.69,-0.51%,"28,446"
102,AGM,Federal Agricultural Mortgage Corporation,Financial,Credit Services,USA,723.35M,8.72,66.75,-2.37%,"3,255"
104,AGO,Assured Guaranty Ltd.,Financial,Insurance - Specialty,Bermuda,2.41B,7.82,27.81,-2.18%,"206,482"
106,AGR,"Avangrid, Inc.",Utilities,Utilities - Regulated Electric,USA,17.33B,24.58,54.75,-1.65%,"30,942"
108,AGRX,"Agile Therapeutics, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,USA,268.25M,-,3.17,0.16%,"95,865"
110,AGTC,Applied Genetic Technologies Corporation,Healthcare,Biotechnology,USA,145.01M,-,5.63,-0.53%,"17,767"
112,AGYS,"Agilysys, Inc.",Technology,Software - Application,USA,566.89M,-,26.15,0.40%,"19,341"
114,AHH,"Armada Hoffler Properties, Inc.",Real Estate,REIT - Diversified,USA,746.13M,19.73,9.08,-3.09%,"52,195"
116,AI,Arlington Asset Investment Corp.,Real Estate,REIT - Mortgage,USA,109.74M,-,2.85,-0.52%,"22,936"
118,AIG,"American International Group, Inc.",Financial,Insurance - Diversified,USA,26.51B,-,29.73,-2.38%,"1,653,606"
120,AIMT,"Aimmune Therapeutics, Inc.",Healthcare,Biotechnology,USA,2.25B,-,34.49,0.00%,0
121,AIN,Albany International Corp.,Consumer Cyclical,Textile Manufacturing,USA,1.75B,16.22,53.70,-3.21%,"15,574"
123,AIR,AAR Corp.,Industrials,Aerospace & Defense,USA,727.17M,-,19.90,-3.73%,"66,776"
125,AIT,"Applied Industrial Technologies, Inc.",Industrials,Industrial Distribution,USA,2.36B,110.47,59.58,-2.47%,"28,652"
127,AIZ,"Assurant, Inc.",Financial,Insurance - Specialty,USA,7.54B,25.92,123.83,-1.99%,"32,525"
129,AJRD,"Aerojet Rocketdyne Holdings, Inc.",Industrials,Aerospace & Defense,USA,3.28B,26.97,40.91,-1.26%,"49,052"
131,AKBA,"Akebia Therapeutics, Inc.",Healthcare,Biotechnology,USA,444.85M,-,3.39,2.26%,"2,889,833"
133,AKR,Acadia Realty Trust,Real Estate,REIT - Retail,USA,931.74M,21.76,10.28,-3.38%,"95,631"
135,AKTS,"Akoustis Technologies, Inc.",Technology,Communication Equipment,USA,322.57M,-,8.56,0.47%,"93,478"
137,ALB,Albemarle Corporation,Basic Materials,Specialty Chemicals,USA,10.19B,23.05,95.39,0.47%,"183,569"
