No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
3514,SPY,SPDR S&P 500 ETF Trust,Financial,Exchange Traded Fund,USA,-,-,351.28,-0.33%,"22,175,629"
3516,SPYV,SPDR Portfolio S&P 500 Value ETF,Financial,Exchange Traded Fund,USA,-,-,31.38,-0.81%,"164,749"
3518,SQBG,"Sequential Brands Group, Inc.",Consumer Cyclical,Apparel Manufacturing,USA,8.82M,-,5.28,-2.49%,"132,523"
3520,SQQQ,ProShares UltraPro Short QQQ,Financial,Exchange Traded Fund,USA,-,-,19.44,-0.89%,"22,228,526"
3521,SR,Spire Inc.,Utilities,Utilities - Regulated Gas,USA,2.90B,48.53,55.75,-0.89%,"72,631"
3523,SRC,"Spirit Realty Capital, Inc.",Real Estate,REIT - Diversified,USA,3.64B,52.10,33.87,-3.39%,"79,110"
3525,SRCL,"Stericycle, Inc.",Industrials,Waste Management,USA,5.98B,-,65.48,-1.31%,"30,913"
3527,SRE,Sempra Energy,Utilities,Utilities - Diversified,USA,36.88B,18.32,126.76,-0.02%,"259,544"
3529,SRG,Seritage Growth Properties,Real Estate,REIT - Retail,USA,553.76M,-,13.56,-3.39%,"101,580"
3531,SRI,"Stoneridge, Inc.",Consumer Cyclical,Auto Parts,USA,624.23M,-,22.89,-1.51%,"26,512"
3533,SRNE,"Sorrento Therapeutics, Inc.",Healthcare,Biotechnology,USA,2.89B,-,11.90,4.29%,"12,471,511"
3535,SRS,ProShares UltraShort Real Estate,Financial,Exchange Traded Fund,USA,-,-,13.65,2.94%,"49,027"
3537,SRTY,ProShares UltraPro Short Russell2000,Financial,Exchange Traded Fund,USA,-,-,6.67,2.62%,"1,871,813"
3539,SSB,South State Corporation,Financial,Banks - Regional,USA,4.06B,33.18,54.44,-3.50%,"60,728"
3522,SRAX,"SRAX, Inc.",Communication Services,Advertising Agencies,USA,36.79M,-,2.47,-1.98%,"7,001"
3524,SRCE,1st Source Corporation,Financial,Banks - Regional,USA,868.53M,10.59,32.73,-2.47%,"2,869"
3526,SRDX,"Surmodics, Inc.",Healthcare,Diagnostics & Research,USA,570.51M,77.92,42.05,-2.41%,"2,779"
3528,SREV,"ServiceSource International, Inc.",Technology,Software - Application,USA,134.83M,-,1.43,0.00%,"17,858"
3530,SRGA,"Surgalign Holdings, Inc.",Healthcare,Medical Devices,USA,159.34M,-,2.06,-4.63%,"54,543"
3532,SRLP,Sprague Resources LP,Energy,Oil & Gas Refining & Marketing,USA,350.92M,20.12,15.42,-0.08%,"12,295"
3534,SRPT,"Sarepta Therapeutics, Inc.",Healthcare,Biotechnology,USA,11.30B,-,145.32,1.71%,"64,399"
3536,SRT,"StarTek, Inc.",Industrials,Specialty Business Services,USA,194.94M,-,4.80,-0.62%,"20,760"
3538,SRVR,Pacer Benchmark Data & Infrastructure Real Estate SCTR ETF,Financial,Exchange Traded Fund,USA,-,-,36.60,-0.93%,"51,182"
3540,SSD,"Simpson Manufacturing Co., Inc.",Industrials,Building Products & Equipment,USA,4.14B,26.26,94.56,-1.50%,"41,560"
3541,SSL,Sasol Limited,Energy,Oil & Gas Integrated,South Africa,4.70B,-,7.09,-3.14%,"468,248"
3543,SSO,ProShares Ultra S&P500,Financial,Exchange Traded Fund,USA,-,-,80.72,-0.65%,"595,001"
3545,SSRM,SSR Mining Inc.,Basic Materials,Gold,Canada,4.08B,41.84,19.11,-2.18%,"840,078"
3547,SSTK,"Shutterstock, Inc.",Communication Services,Internet Content & Information,USA,2.10B,65.21,59.07,-0.46%,"34,749"
3549,ST,Sensata Technologies Holding plc,Technology,Scientific & Technical Instruments,USA,7.35B,93.40,47.00,-1.14%,"176,389"
3551,STAG,"STAG Industrial, Inc.",Real Estate,REIT - Industrial,USA,5.04B,45.78,32.97,-1.35%,"190,994"
3553,STAY,"Extended Stay America, Inc.",Consumer Cyclical,Lodging,USA,2.16B,-,11.94,-2.13%,"205,295"
3555,STC,Stewart Information Services Corporation,Financial,Insurance - Property & Casualty,USA,1.24B,10.43,45.11,-2.45%,"25,318"
3557,STE,STERIS plc,Healthcare,Medical Instruments & Supplies,Ireland,16.17B,39.96,188.50,-1.73%,"55,747"
3559,STIM,"Neuronetics, Inc.",Healthcare,Diagnostics & Research,USA,125.99M,-,6.60,-1.93%,"98,515"
3542,SSNC,"SS&C Technologies Holdings, Inc.",Technology,Software - Application,USA,16.43B,33.84,64.27,-0.45%,"133,407"
3544,SSP,The E.W. Scripps Company,Communication Services,Broadcasting,USA,863.44M,-,10.75,1.03%,"116,241"
3546,SSSS,SuRo Capital Corp.,Financial,Asset Management,USA,146.46M,199.07,8.63,0.80%,"315,286"
3548,SSYS,Stratasys Ltd.,Technology,Computer Hardware,USA,758.14M,-,14.48,-2.13%,"215,940"
3550,STAA,STAAR Surgical Company,Healthcare,Medical Instruments & Supplies,USA,2.67B,372.34,59.22,0.66%,"37,344"
3552,STAR,iStar Inc.,Real Estate,REIT - Diversified,USA,1.04B,-,11.94,-1.81%,"39,381"
3554,STBA,"S&T Bancorp, Inc.",Financial,Banks - Regional,USA,800.48M,22.55,19.76,-2.42%,"34,525"
3556,STCN,"Steel Connect, Inc.",Industrials,Integrated Freight & Logistics,USA,40.77M,-,0.65,-2.09%,"41,855"
3558,STFC,State Auto Financial Corporation,Financial,Insurance - Property & Casualty,USA,598.27M,-,13.50,-2.32%,"5,659"
3560,STKL,SunOpta Inc.,Consumer Defensive,Packaged Foods,Canada,697.92M,-,7.94,0.13%,"59,184"
3561,STL,Sterling Bancorp,Financial,Banks - Regional,USA,2.47B,8.68,12.17,-1.93%,"1,883,545"
3563,STM,STMicroelectronics N.V.,Technology,Semiconductors,Switzerland,30.69B,32.81,35.00,-0.20%,"1,857,195"
3565,STNE,StoneCo Ltd.,Technology,Software - Application,Cayman Islands,17.89B,123.92,58.03,-0.15%,"238,548"
3567,STOK,"Stoke Therapeutics, Inc.",Healthcare,Biotechnology,USA,1.26B,-,39.00,-0.10%,"5,077"
3569,STOR,STORE Capital Corporation,Real Estate,REIT - Diversified,USA,7.22B,24.36,27.52,-1.85%,"367,110"
3571,STRL,"Sterling Construction Company, Inc.",Industrials,Engineering & Construction,USA,431.77M,8.22,14.85,-1.98%,"23,761"
3573,STWD,"Starwood Property Trust, Inc.",Real Estate,REIT - Mortgage,USA,4.58B,11.97,15.74,-0.35%,"527,548"
3575,STXS,"Stereotaxis, Inc.",Healthcare,Medical Instruments & Supplies,USA,263.60M,-,3.67,-1.08%,"56,363"
3577,SU,Suncor Energy Inc.,Energy,Oil & Gas Integrated,Canada,19.46B,-,12.57,-1.33%,"2,663,274"
3579,SUM,"Summit Materials, Inc.",Basic Materials,Building Materials,USA,2.31B,21.77,19.12,-2.65%,"239,448"
3562,STLD,"Steel Dynamics, Inc.",Basic Materials,Steel,USA,7.04B,13.37,32.94,-0.83%,"438,836"
3564,STMP,Stamps.com Inc.,Technology,Software - Application,USA,4.77B,51.33,273.40,0.52%,"49,692"
3566,STNG,Scorpio Tankers Inc.,Energy,Oil & Gas Midstream,Monaco,647.47M,4.55,10.47,-3.23%,"560,949"
3568,STON,StoneMor Inc.,Consumer Cyclical,Personal Services,USA,111.65M,-,0.98,3.20%,"4,986"
3570,STRA,"Strategic Education, Inc.",Consumer Defensive,Education & Training Services,USA,2.36B,18.78,96.87,-0.68%,"20,905"
3572,STT,State Street Corporation,Financial,Asset Management,USA,23.18B,10.76,66.32,-1.33%,"342,107"
3574,STX,Seagate Technology plc,Technology,Computer Hardware,Ireland,13.25B,13.53,51.69,0.78%,"812,667"
3576,STZ,"Constellation Brands, Inc.",Consumer Defensive,Beverages - Wineries & Distilleries,USA,35.80B,34.97,187.27,0.14%,"169,914"
3578,SUI,"Sun Communities, Inc.",Real Estate,REIT - Residential,USA,14.88B,107.93,148.29,-0.44%,"185,037"
3580,SUN,Sunoco LP,Energy,Oil & Gas Refining & Marketing,USA,2.10B,21.31,25.08,-0.52%,"57,721"
3581,SUNS,Solar Senior Capital Ltd.,Financial,Asset Management,USA,213.45M,22.74,13.40,0.75%,"16,249"
3583,SUPN,"Supernus Pharmaceuticals, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,USA,1.10B,9.59,20.83,-1.40%,"42,603"
3585,SURF,"Surface Oncology, Inc.",Healthcare,Biotechnology,USA,397.95M,-,8.76,-6.71%,"992,739"
3587,SVC,Service Properties Trust,Real Estate,REIT - Hotel & Motel,USA,1.41B,-,7.81,-5.45%,"548,119"
3589,SVRA,Savara Inc.,Healthcare,Biotechnology,USA,68.24M,-,1.28,0.00%,"6,311"
3591,SVXY,ProShares Short VIX Short-Term Futures ETF,Financial,Exchange Traded Fund,USA,-,-,37.58,-0.34%,"867,988"
3593,SWBI,"Smith & Wesson Brands, Inc.",Industrials,Aerospace & Defense,USA,916.91M,-,16.35,-0.91%,"370,560"
3595,SWI,SolarWinds Corporation,Technology,Software - Infrastructure,USA,6.62B,220.82,21.83,0.88%,"42,021"
3597,SWK,"Stanley Black & Decker, Inc.",Industrials,Tools & Accessories,USA,27.93B,33.65,176.15,-1.02%,"158,716"
3599,SWM,"Schweitzer-Mauduit International, Inc.",Basic Materials,Paper & Paper Products,USA,1.05B,11.17,32.56,-0.25%,"25,277"
3582,SUP,"Superior Industries International, Inc.",Consumer Cyclical,Auto Parts,USA,32.20M,-,1.24,0.00%,"26,631"
3584,SUPV,Grupo Supervielle S.A.,Financial,Banks - Regional,Argentina,256.20M,3.62,1.62,-3.87%,"175,189"
3586,SUSL,iShares ESG MSCI USA Leaders ETF,Financial,Exchange Traded Fund,USA,-,-,60.75,-0.23%,"3,113"
3588,SVMK,SVMK Inc.,Technology,Software - Application,USA,3.26B,-,23.22,0.02%,"53,203"
3590,SVVC,"Firsthand Technology Value Fund, Inc.",Financial,Asset Management,USA,26.54M,-,3.87,0.59%,"1,589"
3592,SWAV,"ShockWave Medical, Inc.",Healthcare,Medical Devices,USA,2.58B,-,78.77,1.43%,"107,514"
3594,SWCH,"Switch, Inc.",Technology,Information Technology Services,USA,3.92B,144.87,16.27,-0.58%,"137,211"
3596,SWIR,"Sierra Wireless, Inc.",Technology,Communication Equipment,Canada,427.19M,-,11.83,1.63%,"58,343"
3598,SWKS,"Skyworks Solutions, Inc.",Technology,Semiconductors,USA,25.78B,34.18,156.57,-0.33%,"397,512"
3600,SWN,Southwestern Energy Company,Energy,Oil & Gas E&P,USA,1.78B,-,2.89,-2.53%,"2,706,647"
3601,SWX,"Southwest Gas Holdings, Inc.",Utilities,Utilities - Regulated Gas,USA,3.83B,18.07,66.97,-1.36%,"35,281"
3603,SXI,Standex International Corporation,Industrials,Specialty Industrial Machinery,USA,794.51M,19.27,63.21,-1.19%,"3,000"
3605,SY,So-Young International Inc.,Healthcare,Health Information Services,China,1.29B,136.20,12.09,-3.51%,"97,495"
3607,SYF,Synchrony Financial,Financial,Credit Services,USA,17.03B,8.86,28.58,-1.02%,"753,502"
3609,SYKE,"Sykes Enterprises, Incorporated",Technology,Information Technology Services,USA,1.44B,19.34,35.85,-1.39%,"18,504"
3611,SYNC,"Synacor, Inc.",Technology,Software - Infrastructure,USA,61.88M,-,1.54,1.32%,"15,954"
3613,SYNL,Synalloy Corporation,Basic Materials,Steel,USA,36.60M,-,4.12,-5.57%,"19,171"
3615,SYX,Systemax Inc.,Industrials,Industrial Distribution,USA,926.87M,18.90,23.90,-1.81%,"3,363"
3617,T,AT&T Inc.,Communication Services,Telecom Services,USA,202.48B,17.17,27.86,-0.96%,"13,687,809"
3619,TACO,"Del Taco Restaurants, Inc.",Consumer Cyclical,Restaurants,USA,356.22M,-,9.35,-3.46%,"240,249"
3602,SXC,"SunCoke Energy, Inc.",Basic Materials,Coking Coal,USA,316.50M,-,3.69,-0.54%,"60,386"
3604,SXT,Sensient Technologies Corporation,Basic Materials,Specialty Chemicals,USA,2.69B,40.98,64.50,0.44%,"79,544"
3606,SYBX,"Synlogic, Inc.",Healthcare,Biotechnology,USA,69.73M,-,2.04,0.49%,"33,811"
3608,SYK,Stryker Corporation,Healthcare,Medical Devices,USA,83.24B,53.59,219.72,-2.62%,"247,190"
3610,SYNA,Synaptics Incorporated,Technology,Semiconductors,USA,2.85B,25.70,86.84,0.58%,"55,926"
3612,SYNH,"Syneos Health, Inc.",Healthcare,Diagnostics & Research,USA,6.25B,33.96,61.40,1.56%,"244,501"
3614,SYRS,"Syros Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,435.02M,-,9.57,0.05%,"55,267"
3616,SYY,Sysco Corporation,Consumer Defensive,Food Distribution,USA,34.25B,170.84,65.83,-2.45%,"421,247"
3618,TA,TravelCenters of America Inc.,Consumer Cyclical,Specialty Retail,USA,336.34M,6.85,23.20,-1.57%,"28,182"
3620,TACT,TransAct Technologies Incorporated,Technology,Computer Hardware,USA,56.39M,-,7.50,-1.45%,870
3621,TAK,Takeda Pharmaceutical Company Limited,Healthcare,Drug Manufacturers - Specialty & Generic,Japan,55.93B,22.05,17.40,-2.74%,"358,855"
3623,TALO,Talos Energy Inc.,Energy,Oil & Gas E&P,USA,527.99M,3.65,6.90,-0.86%,"127,772"
3625,TAOP,Taoping Inc.,Technology,Software - Infrastructure,China,20.78M,-,2.79,-1.06%,"9,579"
3627,TARO,Taro Pharmaceutical Industries Ltd.,Healthcare,Drug Manufacturers - Specialty & Generic,Israel,2.35B,-,59.70,-2.12%,"10,908"
3629,TBBK,"The Bancorp, Inc.",Financial,Banks - Regional,USA,550.04M,9.65,9.19,-3.16%,"48,000"
3631,TBI,"TrueBlue, Inc.",Industrials,Staffing & Employment Services,USA,626.66M,-,17.36,-0.69%,"25,830"
3633,TBK,"Triumph Bancorp, Inc.",Financial,Banks - Regional,USA,987.16M,25.24,39.56,-1.62%,"15,774"
3635,TBPH,"Theravance Biopharma, Inc.",Healthcare,Biotechnology,Cayman Islands,1.08B,-,17.20,-2.38%,"35,597"
3637,TCBI,"Texas Capital Bancshares, Inc.",Financial,Banks - Regional,USA,1.96B,18.76,36.24,-3.73%,"25,730"
3639,TCDA,"Tricida, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,USA,477.12M,-,9.25,-1.28%,"71,454"
3622,TAL,TAL Education Group,Consumer Defensive,Education & Training Services,China,47.01B,-,78.59,-0.66%,"516,330"
3624,TAN,Invesco Solar ETF,Financial,Exchange Traded Fund,USA,-,-,74.54,1.94%,"688,317"
3626,TAP,Molson Coors Beverage Company,Consumer Defensive,Beverages - Brewers,USA,7.77B,-,35.57,-0.22%,"500,643"
3628,TAST,"Carrols Restaurant Group, Inc.",Consumer Cyclical,Restaurants,USA,397.90M,-,7.09,-3.99%,"56,161"
3630,TBF,ProShares Short 20+ Year Treasury,Financial,Exchange Traded Fund,USA,-,-,15.53,-0.58%,"72,964"
3632,TBIO,"Translate Bio, Inc.",Healthcare,Biotechnology,USA,1.14B,-,15.15,-3.99%,"513,536"
3634,TBNK,Territorial Bancorp Inc.,Financial,Banks - Regional,USA,201.76M,10.40,21.08,-1.26%,"1,509"
3636,TBT,ProShares UltraShort 20+ Year Treasury,Financial,Exchange Traded Fund,USA,-,-,16.02,-0.99%,"345,950"
3638,TCBK,TriCo Bancshares,Financial,Banks - Regional,USA,826.22M,12.05,26.94,-2.20%,"20,734"
3640,TCF,TCF Financial Corporation,Financial,Banks - Regional,USA,4.22B,20.73,26.77,-3.32%,"215,002"
3641,TCMD,"Tactile Systems Technology, Inc.",Healthcare,Medical Devices,USA,784.77M,-,35.88,-1.56%,"55,410"
3643,TCOM,Trip.com Group Limited,Consumer Cyclical,Travel Services,China,19.59B,-,31.18,-3.93%,"1,391,094"
3645,TCPC,BlackRock TCP Capital Corp.,Financial,Asset Management,USA,566.15M,-,9.81,0.10%,"34,423"
3647,TCS,"The Container Store Group, Inc.",Consumer Cyclical,Specialty Retail,USA,428.58M,212.25,8.85,4.24%,"224,592"
3649,TD,The Toronto-Dominion Bank,Financial,Banks - Diversified,Canada,85.44B,12.00,46.01,-1.96%,"760,221"
3651,TDG,TransDigm Group Incorporated,Industrials,Aerospace & Defense,USA,26.67B,48.13,474.14,-2.44%,"68,118"
3653,TDOC,"Teladoc Health, Inc.",Healthcare,Health Information Services,USA,18.36B,-,231.22,6.06%,"1,490,886"
3655,TDW,Tidewater Inc.,Energy,Oil & Gas Equipment & Services,USA,263.35M,-,6.26,-2.95%,"14,376"
3657,TEAM,Atlassian Corporation Plc,Technology,Software - Application,Australia,45.73B,-,195.50,0.63%,"328,451"
3659,TECK,Teck Resources Limited,Basic Materials,Other Industrial Metals & Mining,Canada,7.13B,-,13.48,0.56%,"2,278,830"
3642,TCO,"Taubman Centers, Inc.",Real Estate,REIT - Retail,USA,2.19B,13.19,35.35,-1.45%,"156,677"
3644,TCP,"TC PipeLines, LP",Energy,Oil & Gas Midstream,USA,2.14B,8.14,30.17,0.12%,"17,138"
3646,TCRR,TCR2 Therapeutics Inc.,Healthcare,Biotechnology,USA,729.67M,-,22.35,0.34%,"16,130"
3648,TCX,Tucows Inc.,Technology,Software - Infrastructure,Canada,784.61M,42.29,74.36,0.37%,"2,688"
3650,TDC,Teradata Corporation,Technology,Information Technology Services,USA,2.43B,21.30,21.77,-0.87%,"72,035"
3652,TDIV,First Trust NASDAQ Technology Dividend Index Fund,Financial,Exchange Traded Fund,USA,-,-,46.00,-0.52%,"31,802"
3654,TDS,"Telephone and Data Systems, Inc.",Communication Services,Telecom Services,USA,2.03B,13.44,18.77,-1.68%,"90,446"
3656,TDY,Teledyne Technologies Incorporated,Technology,Scientific & Technical Instruments,USA,12.09B,31.04,321.84,-1.74%,"28,555"
3658,TECH,Bio-Techne Corporation,Healthcare,Biotechnology,USA,10.23B,46.20,269.89,0.50%,"56,337"
3660,TECL,Direxion Daily Technology Bull 3X Shares,Financial,Exchange Traded Fund,USA,-,-,358.51,-0.06%,"201,584"
3661,TECS,Direxion Daily Technology Bear 3X Shares,Financial,Exchange Traded Fund,USA,-,-,10.96,0.27%,"1,148,084"
3663,TEL,TE Connectivity Ltd.,Technology,Electronic Components,Switzerland,34.98B,-,107.17,-0.15%,"312,746"
3665,TEN,Tenneco Inc.,Consumer Cyclical,Auto Parts,USA,713.02M,-,8.55,-0.23%,"163,144"
3667,TEO,Telecom Argentina S.A.,Communication Services,Telecom Services,Argentina,1.78B,-,7.25,-0.55%,"37,426"
3669,TEUM,Pareteum Corporation,Communication Services,Telecom Services,USA,96.17M,-,0.72,3.55%,"295,185"
3671,TEX,Terex Corporation,Industrials,Farm & Heavy Construction Machinery,USA,1.76B,42.08,23.75,-4.50%,"181,259"
3673,TFFP,"TFF Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,335.02M,-,16.13,5.60%,"173,618"
3675,TFLO,iShares Treasury Floating Rate Bond ETF,Financial,Exchange Traded Fund,USA,-,-,50.29,-0.01%,"4,723"
3677,TFX,Teleflex Incorporated,Healthcare,Medical Instruments & Supplies,USA,16.67B,36.20,364.78,-0.77%,"23,940"
3679,TGB,Taseko Mines Limited,Basic Materials,Other Industrial Metals & Mining,Canada,261.40M,-,1.08,-0.92%,"282,634"
3662,TEF,"Telefonica, S.A.",Communication Services,Telecom Services,Spain,19.79B,-,3.64,-3.45%,"498,513"
3664,TELL,Tellurian Inc.,Energy,Oil & Gas E&P,USA,301.60M,-,0.89,-0.62%,"581,761"
3666,TENB,"Tenable Holdings, Inc.",Technology,Software - Infrastructure,USA,4.11B,-,41.46,-0.02%,"105,877"
3668,TER,"Teradyne, Inc.",Technology,Semiconductor Equipment & Materials,USA,13.78B,24.99,87.85,1.40%,"235,785"
3670,TEVA,Teva Pharmaceutical Industries Limited,Healthcare,Drug Manufacturers - Specialty & Generic,Israel,10.20B,3150.00,9.56,1.11%,"2,418,993"
3672,TFC,Truist Financial Corporation,Financial,Banks - Regional,USA,58.36B,14.07,42.74,-1.66%,"1,351,824"
3674,TFI,SPDR Nuveen Bloomberg Barclays Municipal Bond ETF,Financial,Exchange Traded Fund,USA,-,-,51.66,0.00%,"18,967"
3676,TFSL,TFS Financial Corporation,Financial,Banks - Regional,USA,4.44B,49.13,15.51,-2.27%,"46,726"
3678,TG,Tredegar Corporation,Basic Materials,Specialty Chemicals,USA,533.19M,186.47,15.61,-1.48%,"3,059"
3680,TGH,Textainer Group Holdings Limited,Industrials,Rental & Leasing Services,Bermuda,786.61M,16.12,14.25,-2.66%,"51,868"
3681,TGI,"Triumph Group, Inc.",Industrials,Aerospace & Defense,USA,377.90M,-,6.78,-4.71%,"759,525"
3683,TGP,Teekay LNG Partners L.P.,Energy,Oil & Gas Midstream,Bermuda,961.68M,8.76,10.73,-1.42%,"21,058"
3685,TGT,Target Corporation,Consumer Defensive,Discount Stores,USA,81.46B,23.82,166.24,1.01%,"555,783"
3687,THC,Tenet Healthcare Corporation,Healthcare,Medical Care Facilities,USA,2.91B,-,27.85,-0.04%,"342,066"
3689,THD,iShares MSCI Thailand Capped ETF,Financial,Exchange Traded Fund,USA,-,-,64.48,-1.32%,"44,719"
3691,THG,"The Hanover Insurance Group, Inc.",Financial,Insurance - Property & Casualty,USA,3.72B,12.99,97.47,-0.53%,"41,619"
3693,THR,"Thermon Group Holdings, Inc.",Industrials,Specialty Industrial Machinery,USA,398.73M,93.10,11.77,-2.00%,"19,193"
3695,THS,"TreeHouse Foods, Inc.",Consumer Defensive,Packaged Foods,USA,2.37B,-,40.90,-0.46%,"104,460"
3697,TIGR,UP Fintech Holding Limited,Financial,Capital Markets,China,714.52M,315.63,5.07,0.50%,"164,618"
3699,TIP,iShares TIPS Bond ETF,Financial,Exchange Traded Fund,USA,-,-,126.43,0.08%,"368,763"
3682,TGNA,TEGNA Inc.,Communication Services,Broadcasting,USA,2.70B,11.09,11.88,-1.82%,"240,617"
3684,TGS,Transportadora de Gas del Sur S.A.,Energy,Oil & Gas Midstream,Argentina,666.02M,5.17,4.51,-0.22%,"55,316"
3686,TGTX,"TG Therapeutics, Inc.",Healthcare,Biotechnology,USA,3.78B,-,31.42,3.12%,"468,960"
3688,THCX,The Cannabis ETF,Financial,Exchange Traded Fund,USA,-,-,9.64,-2.06%,"32,638"
3690,THFF,First Financial Corporation,Financial,Banks - Regional,USA,474.78M,9.18,33.70,-1.69%,"3,290"
3692,THO,"Thor Industries, Inc.",Consumer Cyclical,Recreational Vehicles,USA,5.30B,23.62,95.60,0.64%,"117,856"
3694,THRM,Gentherm Incorporated,Consumer Cyclical,Auto Parts,USA,1.53B,55.64,46.15,-1.74%,"16,194"
3696,TIF,Tiffany & Co.,Consumer Cyclical,Luxury Goods,USA,14.35B,58.64,118.50,-0.15%,"92,305"
3698,TILE,"Interface, Inc.",Consumer Cyclical,"Furnishings, Fixtures & Appliances",USA,414.60M,-,6.97,-0.71%,"51,766"
3700,TISI,"Team, Inc.",Industrials,Specialty Business Services,USA,186.53M,-,5.90,-2.96%,"15,633"
3701,TITN,Titan Machinery Inc.,Industrials,Industrial Distribution,USA,343.36M,19.44,14.96,-1.71%,"12,025"
3703,TK,Teekay Corporation,Energy,Oil & Gas Integrated,Canada,233.21M,-,2.16,-1.37%,"102,559"
3705,TKR,The Timken Company,Industrials,Tools & Accessories,USA,4.43B,14.26,59.66,-0.17%,"110,382"
3707,TLH,iShares 10-20 Year Treasury Bond ETF,Financial,Exchange Traded Fund,USA,-,-,164.97,0.40%,"52,072"
3709,TLRY,"Tilray, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,Canada,815.79M,-,5.98,-5.10%,"4,366,540"
3711,TLT,iShares 20+ Year Treasury Bond ETF,Financial,Exchange Traded Fund,USA,-,-,161.37,0.48%,"1,755,119"
3713,TM,Toyota Motor Corporation,Consumer Cyclical,Auto Manufacturers,Japan,216.15B,12.79,132.54,0.56%,"30,605"
3715,TME,Tencent Music Entertainment Group,Communication Services,Internet Content & Information,China,23.63B,41.84,14.20,-0.73%,"1,689,158"
3717,TMHC,Taylor Morrison Home Corporation,Consumer Cyclical,Residential Construction,USA,3.44B,19.83,26.79,-2.23%,"285,085"
3719,TMP,Tompkins Financial Corporation,Financial,Banks - Regional,USA,886.35M,12.46,57.62,-1.77%,"5,143"
3702,TJX,"The TJX Companies, Inc.",Consumer Cyclical,Apparel Retail,USA,69.64B,102.60,57.45,-0.90%,"1,015,716"
3704,TKC,Turkcell Iletisim Hizmetleri A.S.,Communication Services,Telecom Services,Turkey,4.52B,10.78,5.10,0.00%,"60,787"
3706,TLGT,"Teligent, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,USA,3.86M,-,0.66,-1.41%,"164,139"
3708,TLND,Talend S.A.,Technology,Software - Infrastructure,France,1.26B,-,42.16,0.67%,"9,445"
3710,TLSA,Tiziana Life Sciences PLC,Healthcare,Biotechnology,United Kingdom,421.17M,-,4.73,7.50%,"208,442"
3712,TLYS,"Tilly's, Inc.",Consumer Cyclical,Apparel Retail,USA,200.10M,422.50,6.58,-2.66%,"22,388"
3714,TMDX,"TransMedics Group, Inc.",Healthcare,Medical Devices,USA,378.90M,-,13.38,-0.63%,"26,980"
3716,TMF,Direxion Daily 20+ Year Treasury Bull 3X Shares,Financial,Exchange Traded Fund,USA,-,-,38.59,1.79%,"184,891"
3718,TMO,Thermo Fisher Scientific Inc.,Healthcare,Diagnostics & Research,USA,180.20B,50.13,468.35,0.35%,"251,161"
3720,TMQ,Trilogy Metals Inc.,Basic Materials,Other Industrial Metals & Mining,Canada,255.98M,1.65,1.79,0.28%,"62,092"
3721,TMST,TimkenSteel Corporation,Basic Materials,Steel,USA,175.57M,-,3.84,0.26%,"49,586"
3723,TMV,Direxion Daily 20+ Year Treasury Bear 3X Shares,Financial,Exchange Traded Fund,USA,-,-,52.20,-1.30%,"50,105"
3725,TNA,Direxion Daily Small Cap Bull 3X Shares,Financial,Exchange Traded Fund,USA,-,-,38.70,-2.57%,"4,531,207"
3727,TNC,Tennant Company,Industrials,Specialty Industrial Machinery,USA,1.18B,26.62,62.95,-2.66%,"8,786"
3729,TNET,"TriNet Group, Inc.",Industrials,Staffing & Employment Services,USA,4.49B,14.51,66.58,-0.76%,"21,410"
3731,TNP,Tsakos Energy Navigation Limited,Energy,Oil & Gas Midstream,Greece,164.93M,11.54,8.02,-3.78%,"13,984"
3733,TOT,TOTAL SE,Energy,Oil & Gas Integrated,France,91.22B,-,34.21,-2.09%,"648,835"
3735,TOWN,TowneBank,Financial,Banks - Regional,USA,1.39B,9.76,18.13,-3.64%,"24,913"
3737,TPC,Tutor Perini Corporation,Industrials,Engineering & Construction,USA,753.01M,-,14.37,-2.18%,"61,626"
3739,TPH,"TRI Pointe Group, Inc.",Consumer Cyclical,Residential Construction,USA,2.46B,9.76,18.90,-1.25%,"248,200"
3722,TMUS,"T-Mobile US, Inc.",Communication Services,Telecom Services,USA,146.42B,42.81,121.27,1.00%,"884,750"
3724,TMX,"Terminix Global Holdings, Inc.",Consumer Cyclical,Personal Services,USA,5.71B,146.39,44.10,-0.26%,"70,704"
3726,TNAV,"Telenav, Inc.",Technology,Software - Application,USA,197.45M,73.16,4.12,-1.20%,"63,553"
3728,TNDM,"Tandem Diabetes Care, Inc.",Healthcare,Medical Devices,USA,7.02B,-,123.35,5.96%,"438,193"
3730,TNK,Teekay Tankers Ltd.,Energy,Oil & Gas Midstream,Canada,376.14M,1.51,10.73,-2.90%,"83,744"
3732,TOL,"Toll Brothers, Inc.",Consumer Cyclical,Residential Construction,USA,6.21B,15.08,49.34,-0.98%,"220,372"
3734,TOUR,Tuniu Corporation,Consumer Cyclical,Travel Services,China,132.89M,-,1.10,-1.79%,"28,729"
3736,TPB,"Turning Point Brands, Inc.",Consumer Defensive,Tobacco,USA,575.78M,95.90,30.08,-1.04%,"16,305"
